Filename,Title,Cart Type,Mapper Type,ROM Banks,RAM Banks,RAM Size,ROM Size,Battery,Timer,Rumble,Sensor,Licensee,Old Licensee Code,CGB Functionality,SGB Functionality,Mask ROM Ver,Region,Weird
Shanghai Pocket (USA) (Rev 1) (Proto) (SGB Enhanced) (GB Compatible).gbc,SHANGHAI POCKET,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,Sunsoft,False,Extra CGB Functions,True,1,Non-Japan (0x1),False
Doraemon no Study Boy 2 - Shou 1 Sansuu Keisan (Japan).gb,STUDYBOY SANSU 1,MBC1,MBC1,32,0,0x0,0x80000,False,False,False,False,"UNKNOWN(b'DJ',DJ)",False,None,False,0,Japan,True
Buster Bros. (USA).gb,BUSTER BROTHERS,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Hudsonsoft,True,None,False,0,Non-Japan (0x1),False
SD Lupin Sansei - Kinko Yaburi Daisakusen (Japan).gb,SD LUPIN THE 3RD,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,Banpresto,True,None,False,0,Japan,False
College Slam (USA).gb,COLLEGE SLAM,MBC1,MBC1,32,0,0x0,0x80000,False,False,False,False,Acclaim,False,None,False,0,Non-Japan (0x1),False
Worms Armageddon (USA).gbc,WORMSAAOE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,Infogrames,False,CGB Only,False,0,Non-Japan (0x1),False
From TV Animation Slam Dunk 2 - Zenkoku e no Tip Off (Japan) (SGB Enhanced).gb,GB SLAM DUNK 2  ,MBC1,MBC1,32,0,0x0,0x80000,False,False,False,False,"UNKNOWN(b'B2',B2)",False,None,True,0,Japan,True
"Super Mario Land 2 - 6 Golden Coins (USA, Europe) (Rev B).gb",MARIOLAND2,MBC1+RAM+Battery,MBC1,32,1,0x800,0x80000,True,False,False,False,Nintendo,True,None,False,2,Non-Japan (0x1),False
Monster Truck (Japan).gb,MONSTERTRUCK,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,Barie,True,None,False,0,Japan,False
Game Boy Color (World) (Demo) (Kiosk).gbc,CGB DEMO,MBC5,MBC5,32,0,0x0,0x80000,False,False,False,False,Nintendo R&D1,False,Extra CGB Functions,False,0,Non-Japan (0x1),False
Q-bert (USA).gbc,Q*BERTBQTE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,Hasbro Interactive,False,CGB Only,False,0,Non-Japan (0x1),False
Konchuu Hakase (Japan) (Rev A) (SGB Enhanced).gb,KONCHU HAKASE,MBC1+RAM+Battery,MBC1,32,1,0x800,0x80000,True,False,False,False,"UNKNOWN(b'AH',AH)",False,None,True,1,Japan,True
Space Invaders (Europe) (SGB Enhanced).gb,SPACE INVADERS,MBC1,MBC1,32,0,0x0,0x80000,False,False,False,False,Nintendo R&D1,False,None,True,0,Non-Japan (0x1),False
"Dexterity (USA, Europe).gb",DEXTERITY,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,SNK,True,None,False,0,Non-Japan (0x1),False
Jantaku Boy (Japan).gb,JANTAKUBOY,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Namco,True,None,False,0,Japan,False
Fire Fighter (Europe).gb,FIRE FIGHTER,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Mindscape,True,None,False,0,Non-Japan (0x1),False
"Smurfs, The (USA, Europe) (En,Fr,De) (Rev A) (SGB Enhanced).gb",SMURFS,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Infogrames,False,None,True,1,Non-Japan (0x1),False
NASCAR 2000 (USA).gbc,NASCAR 2000BN2E,MBC5+RAM+Battery,MBC5,64,1,0x800,0x100000,True,False,False,False,Electronic Arts,False,CGB Only,False,0,Non-Japan (0x1),False
Ready 2 Rumble Boxing (USA) (Rumble Version).gbc,R2R BOXINGVRRE,MBC5+Rumble,MBC5,128,0,0x0,0x200000,False,False,True,False,"UNKNOWN(b'5D',5D)",False,CGB Only,False,0,Non-Japan (0x1),True
Top Gear Pocket 2 (USA).gbc,TG POCKET2A33E,MBC5+RAM+Battery,MBC5,64,1,0x800,0x100000,True,False,False,False,"UNKNOWN(b'5P',5P)",False,CGB Only,False,0,Non-Japan (0x1),True
"Men in Black - The Series (USA, Europe) (SGB Enhanced) (GB Compatible).gbc",MEN IN BLACK,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,"UNKNOWN(b'4Z',4Z)",False,Extra CGB Functions,True,0,Non-Japan (0x1),True
Sangokushi - Game Boy Ban (Japan).gb,SANGOKUSHI,MBC1+RAM+Battery,MBC1,16,1,0x800,0x40000,True,False,False,False,Koei,True,None,False,0,Japan,False
Wild Snake (USA) (SGB Enhanced).gb,WILDSNAKE,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,Bullet-Proof,False,None,True,0,Non-Japan (0x1),False
"Soccer (Europe) (En,Fr,De) (SGB Enhanced).gb",SOCCER,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Nintendo R&D1,False,None,True,0,Non-Japan (0x1),False
"Samurai Shodown (USA, Europe) (SGB Enhanced).gb",SAMURAI SHODOWN,MBC1,MBC1,32,0,0x0,0x80000,False,False,False,False,"UNKNOWN(b'A7',A7)",False,None,True,0,Non-Japan (0x1),True
Tiny Toon Adventures - Dokidoki Sport Festival (Japan).gb,TINY TOON 3,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Konami,False,None,False,0,Japan,False
Metal Walker (USA).gbc,METALWALKERBM4E,MBC5+RAM+Battery,MBC5,64,4,0x4000,0x100000,True,False,False,False,Capcom,False,Extra CGB Functions,False,0,Non-Japan (0x1),False
"Jet Pack (USA, Europe) (Beta).gb",JET PACK,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Jaleco,True,None,False,0,Non-Japan (0x1),False
Rayman 2 - The Great Escape (USA).gbc,RAYMAN2BRYE,MBC5+RAM+Battery,MBC5,256,1,0x800,0x400000,True,False,False,False,UbiSoft,False,CGB Only,False,0,Non-Japan (0x1),False
Saigo no Nindou (Japan).gb,NINJA SPIRIT,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,IREM,True,None,False,0,Japan,False
"Speedy Gonzales - Aztec Adventure (USA, Europe) (GB Compatible).gbc",SPEEDYGONZAALZE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,Sunsoft,False,Extra CGB Functions,False,0,Non-Japan (0x1),False
"Adventures of Pinocchio, The (Unknown) (Proto).gb",INFREY QUEST,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,None,True,None,False,0,Japan,False
Robin Hood - Prince of Thieves (Germany).gb,ROBIN HOOD,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,Mindscape,True,None,False,0,Non-Japan (0x1),False
Mani 4 in 1 (China) (DMG-602 CHN).gb,SAGAIA,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Taito,True,None,False,0,Japan,False
Puzzled (USA).gbc,PUZZLEDBP3E,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,"UNKNOWN(b'5Z',5Z)",False,CGB Only,False,0,Non-Japan (0x1),True
Puzznic (Japan).gb,PUZZNIC,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,Taito,True,None,False,0,Japan,False
Medarot - Kabuto Version (Japan) (SGB Enhanced).gb,MEDAROT KABUTO,MBC1+RAM+Battery,MBC1,32,4,0x4000,0x80000,True,False,False,False,"UNKNOWN(b'9C',9C)",False,None,True,0,Japan,True
Power Pro GB (Japan) (Rev A) (SGB Enhanced).gb,PAWAPURO GB,MBC1+RAM+Battery,MBC1,16,4,0x4000,0x40000,True,False,False,False,Konami,False,None,True,1,Japan,False
Doraemon no Study Boy 6 - Gakushuu Kanji Master 1006 (Japan).gb,STUDYBOY KAN1006,MBC1,MBC1,64,0,0x0,0x100000,False,False,False,False,"UNKNOWN(b'DJ',DJ)",False,None,False,0,Japan,True
"Gear Works (USA, Europe).gb",GEARWORKS,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Sony Imagesoft,True,None,False,0,Non-Japan (0x1),False
World Beach Volley - 1992 GB Cup (Europe).gb,GB BEACHVOLLEY,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Taito,True,None,False,0,Non-Japan (0x1),False
Boomer's Adventure in ASMIK World (USA).gb,DMG-ASE,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,Asmik,True,None,False,0,Non-Japan (0x1),False
Joshua & the Battle of Jericho (USA) (Unl).gb,,ROM ONLY,ROM ONLY,2,0,0x0,0x8000,False,False,False,False,None,True,None,False,0,Japan,False
"Looney Tunes Racing (USA) (En,Fr,De,Es,It,Nl).gbc",LT RACINGBLQE,MBC5+RAM+Battery,MBC5,64,1,0x800,0x100000,True,False,False,False,Infogrames,False,CGB Only,False,0,Non-Japan (0x1),False
Little Master 2 - Raikou no Kishi (Japan).gb,LITTLE MASTER 2,MBC1+RAM+Battery,MBC1,16,1,0x800,0x40000,True,False,False,False,Tokuma sShoten Intermedia,True,None,False,0,Japan,False
"Rugrats in Paris - The Movie (USA, Europe).gbc",RUGRATPARISBRPE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,THQ,False,CGB Only,False,0,Non-Japan (0x1),False
Tsumeshougi - Mondai Teikyou Shougi Sekai (Japan).gb,TSUMESHOUGI,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,I'MAX,True,None,False,0,Japan,False
Zool - Ninja of the 'Nth' Dimension (Europe).gb,ZOOL,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Gremlin,True,None,False,0,Non-Japan (0x1),False
Dragon Warrior III (USA).gbc,DW 3BD3E,MBC5+RAM+Battery,MBC5,256,4,0x4000,0x400000,True,False,False,False,"UNKNOWN(b'B4',B4)",False,CGB Only,False,0,Non-Japan (0x1),True
Space Invaders (USA).gbc,SPACE INAIVE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,Activision,False,Extra CGB Functions,False,0,Non-Japan (0x1),False
SD Hiryuu no Ken Gaiden (Japan) (SGB Enhanced).gb,SD HIRYUNOKEN,MBC1,MBC1,32,0,0x0,0x80000,False,False,False,False,"UNKNOWN(b'BA',BA)",False,None,True,0,Japan,True
