Filename,Title,Cart Type,Mapper Type,ROM Banks,RAM Banks,RAM Size,ROM Size,CGB Functionality,SGB Functionality,Mask ROM Ver,Region
DX Bakenou Z (Japan).gb,BAKENOUZ,MBC1+RAM+BATTERY,MBC1,8,1,0x800,0x20000,None,No,0,Japan
TV Champion (Japan) (SGB Enhanced).gb,TVCHAMPION,MBC1,MBC1,16,0,0x0,0x40000,None,Yes,0,Japan
Heiankyou Alien (Japan).gb,HEIANKYO ALIEN,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Japan
Ponta to Hinako no Chindouchuu - Yuujou Hen (Japan).gb,DMG-AAJ,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Japan
Hokuto no Ken - Seizetsu Juuban Shoubu (Japan).gb,HOKUTO NO KEN   ,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Kandume Monsters (Japan) (SGB Enhanced).gb,KANDUME MONSTER!,MBC3+TIMER+RAM+BATTERY,MBC3,32,1,0x800,0x80000,None,Yes,0,Japan
Dino Breeder 2 (Japan) (SGB Enhanced).gb,DINO2           ,MBC1+RAM+BATTERY,MBC1,32,1,0x800,0x80000,None,Yes,0,Japan
Jankenman (Japan).gb,JANKENMAN,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Japan
Scotland Yard (Japan).gb,SCOTLANDYARD,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Jungle Wars (Japan).gb,JUNGLE WARS,MBC1+RAM+BATTERY,MBC1,16,1,0x800,0x40000,None,No,0,Japan
Pitman (Japan).gb,PITMAN,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Japan
Ishido - The Way of Stones (Japan).gb,ISHIDO JPN VER.,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Japan
Pachi-Slot Kids (Japan).gb,PACHISLOT KIDS,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
World Beach Volley - 1991 GB Cup (Japan).gb,GB BEACHVOLLEY,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
